fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,4,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
1,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,9,6,6,7,5,0,9,8,2
5,9,6,6,9,5,0,9,9,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,9,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,6,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,6,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,6,6,3,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
9,9,6,3,7,3,0,9,9,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,0,8,9,5,4,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,6,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,8,5
5,5,6,5,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
9,9,6,1,2,0,0,9,8,5
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,5
5,9,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,5
5,5,0,6,9,5,4,7,8,2
5,5,6,6,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,0,7,8,2
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,8,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,9,6,5,7,3,0,9,8,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,6,7,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,0,6,9,5,4,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,8,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,8,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,3,0,9,8,5
5,5,6,5,7,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,9,6,5,7,5,7,7,8,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
9,9,6,1,2,0,0,9,9,2
9,9,6,5,7,3,0,9,9,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
9,9,6,5,7,5,0,9,8,5
5,9,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,0,7,8,5
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,0,7,8,2
5,5,0,8,9,5,4,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,4,2
5,5,0,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,9,6,5,7,3,0,9,8,5
5,5,6,5,7,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,0,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,6,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,5,0,9,8,5
5,5,6,5,7,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,6,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,6,6,3,7,5,7,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,6,6,5,7,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,0,2
5,9,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,7,7,8,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,8,2
5,9,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,8,5
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,4,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,9,6,3,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,3,0,9,8,5
5,5,6,5,7,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,6,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,6,6,3,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
9,9,6,1,7,3,0,9,9,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,6,6,3,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,9,6,6,7,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,6,6,3,5,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,6,6,3,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,3,0,9,8,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,6,6,3,7,5,7,7,0,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,5,0,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,0,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
9,9,6,1,2,3,0,9,9,5
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,5
5,5,6,6,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,6,7,8,2
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,0,7,8,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,9,6,5,7,5,0,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,5
5,5,6,6,9,5,6,7,8,2
5,9,6,5,7,5,0,9,8,5
5,5,6,5,7,5,6,7,0,5
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,0,6,9,5,6,7,8,2
5,9,6,5,7,5,0,7,8,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,7,7,0,5
5,5,6,6,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,6,9,5,6,7,4,2
5,5,6,6,7,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,0,2
5,9,6,5,7,5,0,9,8,5
5,5,0,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
9,9,6,5,7,5,0,9,8,5
5,6,6,3,5,5,7,7,0,5
5,5,6,5,7,5,6,7,0,5
5,5,0,8,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,0,6,9,5,4,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,7,5,6,7,4,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,6,6,7,5,6,7,8,2
5,5,6,5,7,5,6,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,7,7,0,5
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,8,5
5,5,6,6,9,5,6,7,8,2
5,6,6,3,5,5,7,7,0,5
5,5,6,6,9,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
5,5,6,6,9,5,6,7,8,2
5,5,6,5,7,5,6,7,0,2
5,5,6,5,7,5,6,7,0,2
5,5,6,6,9,5,6,7,8,2
